ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.46,0.0,4.0,18.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,0.0,2.0,0.54,0.0,6.0,19.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,8.0,0.0,0.0,9503
0.55,0.0,5.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,12.0,0.0,2.0,0.45,0.0,6.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,8.0,0.0,2.0,9502
0.54,0.0,6.0,15.0,3.0,9.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,14.0,0.0,2.0,0.46,0.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,3.0,9501
0.44,0.0,5.0,20.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,3.0,0.56,0.0,6.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,0.0,1.0,9500
0.54,4.0,7.0,15.0,3.0,3.0,0.81,348.0,0.0,4.0,6.0,4.0,10.0,14.0,432.0,3.0,0.46,2.0,2.0,21.0,3.0,1.0,0.74,273.0,0.0,4.0,3.0,4.0,5.0,9.0,368.0,3.0,10663
0.58,4.0,6.0,12.0,1.0,1.0,0.74,355.0,0.0,11.0,11.0,7.0,11.0,22.0,477.0,1.0,0.42,4.0,4.0,18.0,5.0,0.0,0.66,228.0,0.0,5.0,7.0,2.0,8.0,13.0,345.0,3.0,11498
0.5,3.0,2.0,23.0,3.0,1.0,0.76,324.0,0.0,7.0,5.0,3.0,4.0,11.0,424.0,3.0,0.5,2.0,2.0,24.0,2.0,1.0,0.8,326.0,0.0,7.0,3.0,5.0,3.0,10.0,407.0,4.0,11497
0.38,1.0,3.0,14.0,4.0,3.0,0.72,224.0,0.0,6.0,3.0,5.0,3.0,9.0,310.0,3.0,0.62,3.0,8.0,15.0,2.0,2.0,0.84,410.0,0.0,6.0,6.0,6.0,9.0,15.0,489.0,4.0,11499
0.47,0.0,4.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,14.0,0.0,2.0,0.53,0.0,7.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,22.0,0.0,1.0,9498
0.62,3.0,12.0,16.0,0.0,0.0,0.79,365.0,0.0,10.0,7.0,6.0,6.0,16.0,463.0,3.0,0.38,1.0,3.0,17.0,5.0,0.0,0.67,188.0,1.0,0.0,2.0,1.0,4.0,4.0,281.0,2.0,10662
0.51,1.0,4.0,13.0,4.0,4.0,0.78,320.0,0.0,5.0,1.0,4.0,1.0,6.0,409.0,1.0,0.49,3.0,5.0,18.0,2.0,2.0,0.78,304.0,0.0,9.0,4.0,4.0,2.0,11.0,389.0,0.0,10661
0.53,4.0,2.0,15.0,2.0,0.0,0.73,267.0,0.0,9.0,5.0,4.0,4.0,13.0,364.0,1.0,0.47,2.0,3.0,19.0,2.0,5.0,0.69,213.0,0.0,7.0,6.0,3.0,4.0,11.0,310.0,3.0,10660
0.47,1.0,7.0,19.0,2.0,4.0,0.68,248.0,0.0,11.0,9.0,5.0,4.0,15.0,365.0,3.0,0.53,2.0,4.0,18.0,6.0,3.0,0.74,310.0,0.0,6.0,4.0,3.0,3.0,9.0,419.0,4.0,10659
0.5,0.0,8.0,23.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,12.0,0.0,1.0,0.5,0.0,6.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,9497
0.54,3.0,6.0,21.0,3.0,1.0,0.66,238.0,0.0,8.0,5.0,4.0,5.0,12.0,359.0,3.0,0.46,2.0,7.0,22.0,4.0,3.0,0.61,190.0,0.0,8.0,6.0,4.0,4.0,12.0,311.0,4.0,11496
0.55,2.0,4.0,11.0,8.0,1.0,0.86,416.0,0.0,5.0,5.0,1.0,3.0,8.0,484.0,2.0,0.45,2.0,4.0,16.0,1.0,2.0,0.83,321.0,0.0,12.0,4.0,11.0,5.0,17.0,388.0,1.0,10658
0.47,0.0,5.0,21.0,3.0,2.0,0.75,280.0,0.0,7.0,8.0,3.0,4.0,11.0,372.0,2.0,0.53,5.0,5.0,11.0,1.0,1.0,0.8,331.0,0.0,4.0,3.0,5.0,9.0,13.0,416.0,1.0,10657
0.37,0.0,5.0,15.0,3.0,3.0,0.6,162.0,0.0,9.0,7.0,5.0,3.0,12.0,269.0,2.0,0.63,4.0,7.0,14.0,4.0,5.0,0.78,353.0,0.0,6.0,9.0,3.0,10.0,16.0,453.0,5.0,10656
