ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.52,0.0,1.0,10.0,1.0,2.0,0.84,461.0,0.0,6.0,4.0,4.0,2.0,8.0,548.0,0.0,0.48,3.0,2.0,13.0,2.0,3.0,0.82,418.0,0.0,4.0,4.0,1.0,4.0,8.0,511.0,2.0,8919
0.4,7.0,6.0,11.0,2.0,4.0,0.68,269.0,0.0,11.0,5.0,5.0,6.0,17.0,396.0,2.0,0.6,4.0,4.0,11.0,4.0,2.0,0.83,497.0,0.0,8.0,3.0,5.0,4.0,12.0,596.0,1.0,8918
0.31,1.0,5.0,5.0,7.0,5.0,0.74,218.0,1.0,4.0,4.0,6.0,7.0,11.0,296.0,2.0,0.69,10.0,12.0,13.0,3.0,3.0,0.89,562.0,0.0,12.0,5.0,7.0,10.0,22.0,635.0,2.0,8917
0.57,4.0,2.0,22.0,5.0,3.0,0.83,409.0,0.0,9.0,7.0,3.0,5.0,14.0,492.0,0.0,0.43,4.0,8.0,24.0,1.0,4.0,0.75,267.0,0.0,9.0,5.0,5.0,6.0,14.0,354.0,1.0,8915
0.65,9.0,10.0,9.0,3.0,4.0,0.85,471.0,0.0,11.0,10.0,3.0,11.0,22.0,557.0,0.0,0.35,3.0,6.0,15.0,3.0,3.0,0.64,191.0,1.0,5.0,2.0,5.0,5.0,10.0,299.0,3.0,8916
0.43,6.0,7.0,12.0,1.0,5.0,0.75,298.0,0.0,9.0,5.0,4.0,6.0,15.0,400.0,2.0,0.57,3.0,5.0,15.0,3.0,3.0,0.81,435.0,0.0,5.0,3.0,4.0,5.0,10.0,538.0,2.0,8914
0.53,5.0,5.0,15.0,2.0,7.0,0.78,338.0,0.0,7.0,6.0,6.0,10.0,17.0,432.0,0.0,0.47,2.0,4.0,21.0,6.0,1.0,0.72,274.0,0.0,4.0,4.0,2.0,4.0,8.0,379.0,2.0,8911
0.33,2.0,1.0,15.0,3.0,4.0,0.7,203.0,0.0,6.0,3.0,4.0,3.0,9.0,290.0,1.0,0.67,6.0,4.0,16.0,3.0,2.0,0.86,519.0,1.0,7.0,4.0,4.0,7.0,14.0,601.0,3.0,8912
0.33,1.0,3.0,14.0,3.0,4.0,0.73,240.0,0.0,4.0,7.0,2.0,6.0,10.0,328.0,5.0,0.67,3.0,7.0,7.0,2.0,0.0,0.81,562.0,0.0,6.0,2.0,4.0,3.0,9.0,690.0,1.0,8913
0.51,3.0,6.0,16.0,7.0,2.0,0.78,381.0,0.0,5.0,4.0,6.0,8.0,13.0,490.0,2.0,0.49,3.0,5.0,8.0,5.0,1.0,0.78,374.0,0.0,7.0,5.0,8.0,9.0,16.0,477.0,2.0,8910
0.8,7.0,7.0,8.0,1.0,1.0,0.9,793.0,0.0,15.0,8.0,10.0,10.0,25.0,881.0,2.0,0.2,0.0,0.0,9.0,7.0,1.0,0.57,121.0,0.0,2.0,3.0,1.0,2.0,4.0,213.0,2.0,8909
0.67,4.0,9.0,11.0,2.0,1.0,0.82,493.0,0.0,7.0,6.0,4.0,7.0,14.0,600.0,1.0,0.33,1.0,3.0,16.0,3.0,0.0,0.63,181.0,0.0,3.0,3.0,2.0,3.0,6.0,288.0,2.0,8908
0.77,7.0,10.0,10.0,1.0,2.0,0.9,637.0,0.0,22.0,15.0,15.0,15.0,37.0,711.0,1.0,0.23,0.0,0.0,12.0,12.0,2.0,0.64,134.0,1.0,3.0,1.0,2.0,0.0,3.0,210.0,2.0,8907
0.67,6.0,10.0,9.0,3.0,2.0,0.9,677.0,0.0,13.0,9.0,6.0,8.0,21.0,751.0,2.0,0.33,0.0,3.0,5.0,6.0,1.0,0.77,284.0,0.0,4.0,3.0,4.0,3.0,7.0,369.0,1.0,8906
0.52,2.0,5.0,10.0,6.0,0.0,0.74,321.0,0.0,4.0,3.0,6.0,7.0,11.0,431.0,2.0,0.48,1.0,7.0,13.0,5.0,3.0,0.73,281.0,0.0,11.0,7.0,7.0,4.0,15.0,387.0,2.0,8905
0.47,6.0,4.0,16.0,4.0,4.0,0.83,325.0,0.0,11.0,5.0,6.0,6.0,17.0,392.0,3.0,0.53,1.0,3.0,12.0,4.0,1.0,0.83,371.0,1.0,8.0,4.0,7.0,4.0,12.0,445.0,5.0,8904
0.62,3.0,5.0,16.0,1.0,2.0,0.81,448.0,0.0,6.0,7.0,3.0,7.0,13.0,550.0,6.0,0.38,1.0,3.0,20.0,2.0,1.0,0.7,226.0,0.0,8.0,6.0,2.0,1.0,9.0,322.0,2.0,8901
0.64,4.0,13.0,9.0,1.0,2.0,0.85,492.0,0.0,17.0,11.0,9.0,7.0,24.0,579.0,1.0,0.36,3.0,8.0,9.0,6.0,1.0,0.71,220.0,0.0,4.0,4.0,1.0,4.0,8.0,310.0,3.0,8902
0.65,8.0,18.0,11.0,4.0,0.0,0.91,589.0,0.0,25.0,19.0,13.0,15.0,40.0,649.0,1.0,0.35,0.0,2.0,4.0,8.0,0.0,0.79,278.0,0.0,3.0,3.0,4.0,4.0,7.0,352.0,0.0,8903
0.44,3.0,5.0,10.0,1.0,1.0,0.72,275.0,0.0,8.0,10.0,3.0,8.0,16.0,382.0,0.0,0.56,3.0,6.0,12.0,2.0,3.0,0.76,356.0,0.0,11.0,8.0,3.0,3.0,14.0,468.0,1.0,8900
0.49,3.0,7.0,8.0,3.0,6.0,0.74,340.0,0.0,4.0,4.0,2.0,5.0,9.0,459.0,0.0,0.51,1.0,7.0,11.0,2.0,1.0,0.75,353.0,0.0,9.0,8.0,6.0,6.0,15.0,471.0,0.0,8899
0.59,5.0,2.0,17.0,0.0,3.0,0.82,457.0,0.0,6.0,7.0,3.0,9.0,15.0,557.0,2.0,0.41,3.0,3.0,19.0,3.0,0.0,0.75,293.0,0.0,7.0,5.0,1.0,2.0,9.0,389.0,4.0,8898
0.48,1.0,6.0,15.0,7.0,6.0,0.74,295.0,0.0,9.0,6.0,6.0,4.0,13.0,400.0,3.0,0.52,2.0,4.0,11.0,4.0,3.0,0.76,344.0,0.0,8.0,5.0,9.0,8.0,16.0,451.0,0.0,8897
0.52,6.0,3.0,10.0,1.0,5.0,0.87,442.0,0.0,9.0,5.0,8.0,10.0,19.0,509.0,2.0,0.48,2.0,4.0,21.0,8.0,2.0,0.84,402.0,0.0,4.0,3.0,1.0,2.0,6.0,478.0,5.0,8896
0.33,3.0,1.0,10.0,8.0,12.0,0.62,156.0,0.0,4.0,7.0,1.0,7.0,11.0,251.0,1.0,0.67,6.0,13.0,8.0,1.0,3.0,0.8,387.0,0.0,14.0,12.0,8.0,12.0,26.0,484.0,2.0,8895
0.61,0.0,4.0,10.0,3.0,1.0,0.85,617.0,0.0,7.0,6.0,4.0,3.0,10.0,725.0,3.0,0.39,1.0,2.0,6.0,4.0,3.0,0.76,345.0,0.0,2.0,2.0,3.0,4.0,6.0,455.0,3.0,8892
0.57,5.0,8.0,14.0,6.0,2.0,0.81,349.0,0.0,12.0,5.0,9.0,7.0,19.0,433.0,3.0,0.43,4.0,6.0,17.0,7.0,1.0,0.75,249.0,0.0,9.0,4.0,8.0,7.0,16.0,331.0,2.0,8893
0.48,1.0,3.0,16.0,5.0,1.0,0.79,361.0,0.0,5.0,6.0,2.0,4.0,9.0,458.0,1.0,0.52,4.0,9.0,15.0,0.0,0.0,0.83,394.0,0.0,10.0,12.0,5.0,11.0,21.0,475.0,2.0,8894
